s_km grade_pct kappa vmax_kmh
15.32000 1.51516 0.00011 64.37376
15.42000 1.68344 0.00002 64.37376
15.52000 1.62737 -0.00012 64.37376
15.62000 1.65179 0.00000 64.37376
15.72000 1.61051 0.00003 64.37376
15.82000 1.36652 0.00002 64.37376
15.92000 1.23994 -0.00004 64.37376
16.02000 1.23100 -0.00005 64.37376
16.12000 1.00239 0.00004 64.37376
16.22000 0.89677 0.00006 64.37376
16.32000 0.55962 -0.00001 64.37376
16.42000 0.26607 -0.00003 64.37376
16.52000 0.47530 0.00013 64.37376
16.62000 0.87054 0.00030 64.37376
16.72000 1.04004 0.00046 64.37376
16.82000 1.06823 0.00047 64.37376
16.92000 1.20181 0.00062 64.37376
17.02000 1.10634 0.00049 64.37376
17.12000 0.75790 0.00049 64.37376
17.22000 0.39244 0.00047 64.37376
17.32000 0.58799 0.00038 64.37376
17.42000 1.02222 0.00049 64.37376
17.52000 1.42320 0.00038 64.37376
17.62000 1.37847 0.00047 64.37376
17.72000 1.54891 0.00072 64.37376
17.82000 1.49533 0.00001 64.37376
17.92000 1.24298 -0.00009 64.37376
18.02000 0.85529 -0.00013 64.37376
18.12000 0.92270 0.00021 64.37376
18.22000 0.98393 0.00024 64.37376
18.32000 1.15716 -0.00009 64.37376
18.42000 1.01837 -0.00002 64.37376
18.52000 0.88294 0.00000 64.37376
18.62000 0.83694 -0.00003 64.37376
18.72000 0.85418 0.00002 64.37376
18.82000 0.90587 -0.00010 64.37376
18.92000 0.98364 -0.00011 64.37376
19.02000 1.06926 -0.00003 64.37376
19.12000 1.12393 -0.00015 64.37376
19.22000 1.12617 0.00013 64.37376
19.32000 1.05996 0.00015 64.37376
19.42000 1.01282 0.00001 64.37376
19.52000 1.00558 0.00004 64.37376
19.62000 1.00669 0.00001 64.37376
19.72000 0.89491 -0.00002 64.37376
19.82000 0.74165 -0.00012 64.37376
19.92000 0.67194 -0.00052 64.37376
20.02000 0.71089 -0.00065 64.37376
20.12000 0.83127 -0.00035 64.37376
20.22000 0.97853 -0.00037 64.37376
20.32000 1.13305 -0.00026 64.37376
20.42000 1.25917 -0.00007 64.37376
20.52000 1.26211 -0.00012 64.37376
20.62000 1.16349 -0.00011 64.37376
20.72000 1.06682 -0.00004 64.37376
20.82000 1.00456 0.00017 64.37376
20.92000 1.00160 0.00010 64.37376
21.02000 1.01035 -0.00008 64.37376
21.12000 1.00061 -0.00005 64.37376
21.22000 0.99021 -0.00008 64.37376
21.32000 0.95278 -0.00005 64.37376
21.42000 0.97065 0.00008 64.37376
21.52000 0.99913 0.00015 64.37376
21.62000 1.02590 -0.00010 64.37376
21.72000 1.03450 -0.00007 64.37376
21.82000 1.03203 0.00000 64.37376
21.92000 1.00695 0.00000 64.37376
22.02000 0.99044 0.00002 64.37376
22.12000 0.98425 0.00009 64.37376
22.22000 0.99021 -0.00002 64.37376
22.32000 0.99287 -0.00005 64.37376
22.42000 0.99402 0.00002 64.37376
22.52000 0.98597 0.00001 64.37376
22.62000 0.97741 -0.00003 64.37376
22.72000 0.96936 -0.00000 64.37376
22.82000 0.96320 -0.00002 64.37376
22.92000 0.96156 0.00003 64.37376
23.02000 0.96753 0.00002 64.37376
23.12000 0.97275 -0.00004 64.37376
