t trac brk
106.0000 0.4439 0.1322
106.5000 0.4438 0.1322
107.0000 0.4438 0.1322
107.5000 0.4437 0.1322
108.0000 0.4437 0.1323
108.5000 0.4436 0.1323
109.0000 0.4436 0.1323
109.5000 0.4435 0.1324
110.0000 0.4435 0.1324
110.5000 0.4434 0.1324
111.0000 0.4434 0.1324
111.5000 0.4434 0.1325
112.0000 0.4433 0.1325
112.5000 0.4433 0.1325
113.0000 0.4433 0.1325
113.5000 0.4432 0.1326
114.0000 0.4432 0.1326
114.5000 0.4432 0.1326
115.0000 0.4431 0.1326
115.5000 0.4431 0.1326
116.0000 0.4431 0.1326
116.5000 0.4431 0.1327
117.0000 0.4430 0.1327
117.5000 0.4430 0.1327
118.0000 0.4430 0.1327
118.5000 0.4430 0.1327
119.0000 0.4430 0.1327
119.5000 0.4430 0.1327
120.0000 0.4430 0.1327
