t trac brk
106.0000 0.0000 0.3706
106.5000 0.0000 0.3706
107.0000 0.0000 0.3706
107.5000 0.0000 0.3706
108.0000 0.0000 0.3706
108.5000 0.0000 0.3706
109.0000 0.0000 0.3706
109.5000 0.0000 0.3706
110.0000 0.0000 0.3706
110.5000 0.0000 0.3706
111.0000 0.0000 0.3706
111.5000 0.0000 0.3706
112.0000 0.0000 0.3706
112.5000 0.0000 0.3706
113.0000 0.0000 0.3706
113.5000 0.0000 0.3706
114.0000 0.0000 0.3706
114.5000 0.0000 0.3706
115.0000 0.0000 0.3706
115.5000 0.0000 0.3706
116.0000 0.0000 0.3706
116.5000 0.0000 0.3706
117.0000 0.0000 0.3706
117.5000 0.0000 0.3706
118.0000 0.0000 0.3706
118.5000 0.0000 0.3706
119.0000 0.0000 0.3706
119.5000 0.0000 0.3706
120.0000 0.0000 0.3706
