s_km grade_pct
0.0000 -0.3228
0.1100 0.7129
0.2200 1.6439
0.3300 2.3809
0.4200 2.4992
0.5300 2.4992
0.6400 2.4992
0.7300 1.8639
0.8400 1.5229
0.9500 1.7553
1.0600 1.7779
1.1700 1.7009
1.2800 1.4374
1.3900 1.4364
1.5000 1.3776
1.6100 1.2334
1.7200 1.1703
1.8300 1.2115
1.9400 1.0666
2.0500 0.7323
2.1600 0.5550
2.2700 0.5481
2.3800 0.5763
2.4900 0.5997
2.5900 0.6619
2.6831 0.6952
2.7900 0.7459
2.9000 0.7474
3.0100 0.8370
3.1200 0.9267
3.2300 1.0241
3.3400 1.0182
3.4500 0.8925
3.5600 0.6578
3.6700 0.3706
3.7800 0.1269
3.8900 -0.0037
4.0000 -0.0457
4.1100 -0.0185
4.2200 0.0241
4.3300 0.0654
4.4400 0.1012
4.5500 0.1275
4.6600 0.1417
4.7700 0.1518
4.8800 0.1469
4.9900 0.1293
5.1000 0.1003
5.2100 0.0612
5.3200 -0.0064
5.4300 -0.1518
5.5400 -0.0586
5.6500 0.2413
5.7600 0.5655
5.8700 0.7738
5.9800 0.8978
6.0900 1.0255
6.2000 0.9685
6.3100 0.7152
6.4200 0.6090
6.5300 0.7210
6.6400 0.7717
6.7500 0.6778
6.8600 0.5915
6.9700 0.6497
7.0800 0.6679
7.1900 0.5896
7.3000 0.5484
7.4100 0.5660
7.5200 0.5366
7.6300 0.4167
7.7300 0.3081
7.8400 0.2466
7.9500 0.1942
8.0600 0.1728
8.1700 0.2348
8.2800 0.3064
8.3900 0.3420
8.5000 0.3333
8.6100 0.2789
8.7200 0.2105
8.8300 0.1942
8.9400 0.3222
9.0500 0.4694
9.1600 0.5525
9.2700 0.6046
9.3800 0.6248
9.4900 0.6040
9.6000 0.5619
9.7100 0.6023
9.8200 0.7017
9.9300 0.7455
10.0400 0.7328
10.1500 0.7981
10.2600 0.8418
10.3700 0.8185
10.4800 0.7511
10.5900 0.6663
10.7000 0.5110
10.8100 0.2606
10.9200 0.0704
11.0300 -0.0331
11.1400 -0.0936
11.2500 -0.0708
11.3600 0.0179
11.4700 0.0723
11.5800 0.0094
11.6900 -0.0640
11.8000 -0.0881
11.9100 -0.0989
12.0200 -0.0441
12.1300 -0.9624
12.2400 -0.5395
12.3500 -0.2368
12.4600 0.0972
12.5700 0.8884
12.6800 1.7836
12.7900 2.4992
12.9000 2.4266
13.0100 2.1957
13.1200 1.8171
13.2300 1.1494
13.3400 0.5495
13.4500 0.3934
13.5600 0.3738
13.6700 0.6288
13.7800 1.0309
13.8900 1.3259
14.0000 1.4308
14.1100 1.5148
14.2200 1.2705
14.3300 0.9927
14.4400 0.6856
14.5500 0.4729
14.6600 0.3188
14.7700 0.2968
14.8800 0.3404
14.9900 0.4024
15.1000 0.7396
15.2100 1.2880
15.3200 1.5152
15.4300 1.6890
15.5400 1.6276
15.6500 1.6705
15.7600 1.5127
15.8700 1.2535
15.9800 1.2385
16.0900 1.0611
16.2000 0.9474
16.3100 0.6000
16.4200 0.2661
16.5300 0.5132
16.6400 0.9223
16.7500 1.0419
16.8600 1.1131
16.9700 1.1867
17.0800 0.9003
17.1900 0.4476
17.3000 0.5124
17.4100 0.9675
17.5200 1.4232
17.6300 1.3832
17.7400 1.5726
17.8500 1.4378
17.9600 1.0910
18.0700 0.8941
18.1800 0.9440
18.2900 1.1085
18.4000 1.0844
18.5100 0.8913
18.6200 0.8369
18.7300 0.8592
18.8400 0.9175
18.9500 1.0103
19.0600 1.0963
19.1700 1.1337
19.2800 1.0883
19.3900 1.0235
19.5000 1.0042
19.6100 1.0100
19.7200 0.8949
19.8300 0.7306
19.9400 0.6696
20.0500 0.7420
20.1600 0.8899
20.2700 1.0552
20.3800 1.2178
