t trac brk
106.0000 0.4245 0.0000
106.5000 0.4393 0.0000
107.0000 0.4546 0.0000
107.5000 0.4705 0.0000
108.0000 0.4868 0.0000
108.5000 0.5034 0.0000
109.0000 0.5203 0.0000
109.5000 0.5374 0.0000
110.0000 0.5545 0.0000
110.5000 0.5716 0.0000
111.0000 0.5887 0.0000
111.5000 0.6056 0.0000
112.0000 0.6222 0.0000
112.5000 0.6385 0.0000
113.0000 0.6544 0.0000
113.5000 0.6697 0.0000
114.0000 0.6845 0.0000
114.5000 0.6985 0.0000
115.0000 0.7118 0.0000
115.5000 0.7242 0.0000
116.0000 0.7357 0.0000
116.5000 0.7462 0.0000
117.0000 0.7555 0.0000
117.5000 0.7636 0.0000
118.0000 0.7705 0.0000
118.5000 0.7760 0.0000
119.0000 0.7800 0.0000
119.5000 0.7825 0.0000
120.0000 0.7833 0.0000
