s_km grade_pct
20.7300 -0.1920
20.7900 -0.1432
20.8500 -0.0919
20.9100 -0.0412
20.9700 0.0040
21.0300 0.0486
21.0900 0.0935
21.1500 0.1535
21.2100 0.1986
21.2700 0.2126
21.3300 0.2684
21.3900 0.3437
21.4500 0.3979
21.5100 0.4474
21.5700 0.5240
21.6300 0.5932
21.6900 0.6444
21.7500 0.6833
21.8100 0.7026
21.8700 0.6986
21.9300 0.6626
21.9900 0.6250
22.0500 0.5682
22.1100 0.4877
22.1700 0.4543
22.2300 0.4162
22.2900 0.3733
22.3500 0.4029
22.4100 0.4410
22.4700 0.4808
22.5300 0.5089
22.5900 0.5355
22.6500 0.5612
22.7100 0.5749
22.7700 0.5546
22.8300 0.5501
22.8900 0.5378
22.9500 0.5101
23.0100 0.5308
23.0700 0.5500
23.1300 0.5612
23.1900 0.6627
23.2500 0.7874
23.3100 0.9139
23.3700 1.0154
23.4300 1.0806
23.4900 1.1077
23.5500 1.0848
23.6100 1.0092
23.6700 0.8956
23.7300 0.7298
23.7900 0.5290
23.8500 0.3898
23.9100 0.2256
23.9700 0.0768
24.0300 -0.0073
24.0900 -0.0617
24.1500 -0.0626
24.2100 0.0153
24.2700 0.1125
24.3300 0.2124
24.3900 0.3119
24.4500 0.3971
24.5100 0.4631
24.5700 0.5145
24.6300 0.5706
24.6900 0.6259
24.7500 0.6635
24.8100 0.6661
24.8700 0.6252
24.9300 0.5547
24.9900 0.5251
25.0500 0.5192
25.1100 0.4989
25.1700 0.4823
25.2300 0.4720
25.2900 0.4689
25.3500 0.4796
25.4100 0.5133
25.4700 0.5503
25.5300 0.5829
25.5900 0.6052
25.6500 0.5987
25.7100 0.5573
25.7700 0.5109
25.8300 0.4673
25.8900 0.4020
25.9500 0.3227
26.0100 0.2872
26.0700 0.3141
26.1300 0.3680
26.1900 0.4420
26.2500 0.4963
26.3100 0.5277
26.3700 0.5548
26.4300 0.6029
26.4900 0.6943
26.5500 0.7454
26.6100 0.7650
26.6700 0.7500
26.7300 0.7170
26.7900 0.6881
26.8500 0.7211
26.9100 0.8001
26.9700 0.8474
27.0300 0.8466
27.0900 0.8156
27.1500 0.7543
27.2100 0.6783
27.2700 0.6394
27.3300 0.6211
27.3900 0.6098
27.4500 0.6214
27.5100 0.6018
27.5700 0.5646
27.6300 0.5240
27.6900 0.5039
27.7500 0.5052
27.8100 0.5120
27.8700 0.5541
27.9300 0.6306
27.9900 0.6734
28.0500 0.6712
28.1100 0.6308
28.1700 0.5709
28.2300 0.5515
28.2900 0.5337
28.3500 0.4895
28.4100 0.4181
28.4700 0.3280
28.5300 0.2586
