s_km grade_pct
0.0000 -0.4580
0.0600 -0.4533
0.1200 -0.4385
0.1800 -0.4086
0.2400 -0.3382
0.3000 -0.3057
0.3539 -0.2673
0.4000 -0.2260
0.4600 -0.1977
0.5200 -0.1624
0.5800 -0.1584
0.6400 -0.1657
0.7000 -0.1444
0.7600 -0.1059
0.8200 -0.0391
0.8800 0.0292
0.9400 0.1273
1.0000 0.2147
1.0600 0.2834
1.1200 0.3350
1.1800 0.3677
1.2400 0.3800
1.3000 0.3720
1.3600 0.3424
1.4200 0.2946
1.4800 0.2377
1.5400 0.1798
1.6000 0.1386
1.6600 0.1122
1.7200 0.1095
1.7800 0.1372
1.8400 0.1617
1.9000 0.1777
1.9500 0.1850
2.0100 0.1847
2.0700 0.1810
2.1300 0.1764
2.1900 0.1684
2.2500 0.1495
2.3100 0.1236
2.3700 0.1061
2.4300 0.0999
2.4900 0.1092
2.5500 0.1457
2.6100 0.2011
2.6700 0.2504
2.7300 0.3163
2.7900 0.4025
2.8500 0.5161
2.9100 0.6251
2.9700 0.7060
3.0300 0.7568
3.0900 0.7677
3.1500 0.7402
3.2100 0.7266
3.2700 0.7605
3.3300 0.7775
3.3900 0.7768
3.4500 0.7367
3.5025 0.6694
3.5600 0.6650
3.6200 0.7477
3.6800 0.8274
3.7400 0.8667
3.8000 0.8610
3.8600 0.8587
3.9200 0.8764
3.9800 0.8912
4.0400 0.9124
4.1000 0.9425
4.1600 0.9391
4.2200 0.9984
4.2800 1.0108
4.3400 0.9622
4.4000 0.9952
4.4600 0.9591
4.5200 0.9609
4.5800 0.9922
4.6400 0.9647
4.7000 0.9931
4.7600 1.0717
4.8200 1.1513
4.8700 1.1679
4.9300 1.1134
4.9800 1.0614
5.0400 1.0602
5.1000 1.1211
5.1600 1.1404
5.2200 1.0704
5.2800 0.9653
5.3400 0.9212
5.4000 0.9548
5.4600 0.9596
5.5200 0.9705
5.5800 0.9575
5.6400 0.9750
5.7000 1.0112
5.7600 1.0263
5.8200 0.9844
5.8800 0.9715
5.9400 1.0383
6.0000 1.0898
6.0600 1.1337
6.1200 1.2342
6.1800 1.3204
6.2400 1.3992
6.3000 1.4259
6.3600 1.3453
6.4200 1.1984
6.4800 1.0923
6.5400 1.0577
6.6000 1.0318
6.6600 1.0321
6.7200 1.0088
6.7800 0.9464
6.8400 0.8520
6.9000 0.8133
6.9600 0.8087
7.0200 0.8671
7.0800 0.9587
7.1400 0.9442
7.2000 0.8348
7.2600 0.6770
7.3200 0.5425
7.3800 0.5430
7.4400 0.6438
7.5000 0.7839
7.5600 0.9239
7.6200 0.9763
7.6800 1.1056
7.7300 1.0827
7.7900 1.1659
7.8500 1.2813
7.9100 1.4102
7.9700 1.4705
8.0300 1.4493
8.0900 1.3272
8.1500 1.2571
8.2100 1.1792
8.2700 1.0553
8.3300 0.8604
8.3900 0.7124
8.4400 0.5848
8.5000 0.4843
8.5600 0.4582
8.6200 0.4632
8.6800 0.4719
8.7400 0.4958
8.8000 0.5799
8.8600 0.7352
8.9200 0.8614
8.9800 0.9872
9.0400 1.0804
9.1000 1.1719
9.1600 1.1211
9.2200 1.1072
9.2800 1.0568
9.3400 1.0605
9.4000 1.1190
9.4600 1.0602
9.5200 0.9443
9.5800 0.8855
9.6400 0.8585
9.7000 0.8596
9.7600 0.9065
9.8200 0.9543
9.8800 1.0471
9.9400 1.1744
10.0000 1.2319
10.0600 1.2445
10.1200 1.2409
10.1800 1.3302
10.2400 1.3547
10.3000 1.2765
10.3600 1.2215
10.4200 1.1330
10.4800 1.0049
10.5400 0.8936
10.6000 0.8127
10.6600 0.7755
10.7200 0.7693
10.7800 0.8149
10.8400 0.8630
10.9000 0.8598
10.9600 0.8126
11.0200 0.7879
11.0800 0.8189
11.1400 0.8466
11.2000 0.8604
11.2600 0.8583
11.3200 0.8884
11.3800 0.8998
11.4400 0.8899
11.5000 0.8498
11.5600 0.8794
11.6200 0.9875
11.6800 1.0900
11.7400 1.1224
11.8000 1.1352
11.8600 1.1938
11.9200 1.2171
11.9800 1.2898
12.0400 1.3482
12.1000 1.3645
12.1600 1.3676
12.2200 1.3035
12.2800 1.1659
12.3400 0.9773
12.4000 0.8913
12.4600 0.8205
12.5200 0.7023
12.5800 0.5754
12.6400 0.4827
12.7000 0.3955
12.7600 0.2485
12.8200 0.1787
12.8800 0.1184
12.9400 0.0678
13.0000 0.0086
13.0600 -0.0596
13.1200 -0.1418
13.1800 -0.2174
13.2400 -0.2099
13.3000 -0.1854
13.3600 -0.1907
13.4200 -0.2897
13.4800 -0.3681
13.5400 -0.3880
13.6000 -0.4732
13.6600 -0.6489
13.7200 -0.8191
13.7800 -0.9301
13.8400 -0.9919
13.9000 -0.9926
13.9600 -0.9467
14.0200 -0.8384
14.0800 -0.6884
14.1400 -0.4962
14.2000 -0.3657
14.2600 -0.3725
14.3200 -0.3224
14.3800 -0.2079
14.4400 -0.0907
14.5000 -0.0647
14.5600 0.0026
14.6200 0.1200
14.6800 0.2073
14.7400 0.2871
14.8000 0.2644
14.8600 0.2246
14.9200 0.1209
14.9800 -0.0378
15.0400 -0.1922
15.1000 -0.4076
15.1600 -0.5609
15.2200 -0.7589
15.2800 -0.9369
15.3400 -1.3008
15.4000 -1.3206
15.4600 -1.1651
15.5200 -0.9352
15.5800 -0.6973
15.6400 -0.5072
15.7000 -0.4041
15.7500 -0.3817
15.8100 -0.3689
15.8600 -0.2748
15.9200 -0.0257
15.9800 0.1939
16.0400 0.3804
16.1000 0.2745
16.1600 0.2299
16.2200 0.2512
16.2800 0.3396
16.3400 0.4323
16.4000 0.5135
16.4600 0.5361
16.5200 0.4712
16.5800 0.3498
16.6400 0.2090
16.7000 0.0527
16.7600 -0.1388
16.8200 -0.2452
16.8800 -0.2274
16.9400 -0.2025
17.0000 -0.1221
17.0600 -0.0946
17.1200 -0.0564
17.1711 -0.0166
17.2208 0.0330
17.2800 0.0961
17.3400 0.1785
17.4000 0.2519
17.4600 0.3119
17.5200 0.2511
17.5800 0.1035
17.6400 0.0291
17.7000 0.0172
17.7600 0.0355
17.8200 0.1010
17.8800 0.1743
17.9400 0.1563
18.0000 0.1119
18.0600 0.0904
18.1200 0.0884
18.1800 0.1004
18.2400 0.1022
18.3000 0.0799
18.3600 0.0475
18.4200 -0.0159
18.4800 -0.0922
18.5400 -0.1545
18.6000 -0.2666
18.6600 -0.3237
18.7200 -0.3931
18.7800 -0.5319
18.8400 -0.6317
18.9000 -0.6709
18.9600 -0.6632
19.0200 -0.7365
19.0800 -0.6416
19.1400 -0.4339
19.2000 -0.1854
19.2500 0.1600
19.3100 0.5602
19.3700 0.9171
19.4200 1.0966
19.4800 1.1942
19.5300 1.2353
19.5900 1.2878
19.6500 1.3317
19.7100 1.3025
19.7700 1.1611
19.8300 0.9719
19.8900 0.9238
19.9500 0.8979
20.0100 0.8775
20.0700 0.9140
20.1300 0.9649
20.1900 0.9161
20.2500 0.8053
20.3100 0.6446
20.3700 0.4757
20.4300 0.3447
20.4900 0.1983
20.5500 0.0320
20.6100 -0.1152
20.6700 -0.1879
